Group,SampleID,pc1end,pc2end,Roost,CollectionMonth,Site,Labeler,pc1start,pc2start,DistMethod,Pid
EN-A-July,7272017EGA2,-0.0217048831622643,0.163582238882001,A,July,EN,EN-A,-0.112552324503281,-0.0116971506308084,dice,pid=100
EN-A-July,7272017EGA4,-0.0997527817255517,-0.10608698853161,A,July,EN,EN-A,-0.112552324503281,-0.0116971506308084,dice,pid=100
EN-A-July,7272017EGA5,-0.262572419490576,-0.13039219617421,A,July,EN,EN-A,-0.112552324503281,-0.0116971506308084,dice,pid=100
EN-A-July,7272017EGA1,-0.120334500964307,0.0344238334072718,A,July,EN,EN-A,-0.112552324503281,-0.0116971506308084,dice,pid=100
EN-A-July,7272017EGA3,-0.0385405980359018,0.0270933469528257,A,July,EN,EN-A,-0.112552324503281,-0.0116971506308084,dice,pid=100
EN-A-June,6212017EGA1,-0.26679590129899,-0.0384264053773918,A,June,EN,EN-A,-0.204110822586334,0.0319873126404107,dice,pid=100
EN-A-June,6212017EGA2,-0.164707012659442,0.0372671284190643,A,June,EN,EN-A,-0.204110822586334,0.0319873126404107,dice,pid=100
EN-A-June,6212017EGA3,-0.231642496226296,0.117468347534867,A,June,EN,EN-A,-0.204110822586334,0.0319873126404107,dice,pid=100
EN-A-June,6212017EGA4,-0.147736260394299,0.00313847752866848,A,June,EN,EN-A,-0.204110822586334,0.0319873126404107,dice,pid=100
EN-A-September,9152017EGA1,0.0824174561496393,0.0882607614161342,A,September,EN,EN-A,-0.0409566887087386,-0.0384382947087349,dice,pid=100
EN-A-September,9152017EGA4,-0.0739741791053059,0.120382831306806,A,September,EN,EN-A,-0.0409566887087386,-0.0384382947087349,dice,pid=100
EN-A-September,9152017EGA3,-0.113052614050951,-0.284341039422065,A,September,EN,EN-A,-0.0409566887087386,-0.0384382947087349,dice,pid=100
EN-B-July,72717EgnerPoolB1,0.0619804048652879,-0.243292357939017,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,72717EgnerPoolB2,0.0559432519886748,-0.246217012494928,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,72717EgnerPoolB3,0.0526982635866737,-0.275331127595398,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,72717EgnerPoolB4,0.0275319442484411,-0.249350416715147,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB1,-0.0539868029948787,-0.12857231991778,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB10,-0.0585246808903997,-0.315122931295258,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB2,-0.133390531151603,-0.158735782735733,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB3,-0.0523620640550176,-0.198579378901864,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB4,-0.0376288961028812,-0.0827004454299209,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB5,-0.0325373529409773,-0.10207385657932,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB6,-0.122296790845289,-0.125271014032149,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB7,-0.0209885049759335,-0.182160900593753,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB8,-0.0274276658397373,-0.0817089330460859,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-July,7272017EGB9,0.0237527186528479,-0.256578906758746,B,July,EN,EN-B,-0.0238385439424266,-0.185030502955807,dice,pid=100
EN-B-June,6212017EGB1,-0.236122580819409,0.107520733327861,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB10,-0.282318742306634,0.0756897812693251,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB2,-0.151139176336034,0.0339690394607031,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB3,-0.0448872220752447,0.128127563374229,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB4,-0.0170448512984356,-0.014918899711682,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB5,-0.224947478393394,0.0919530995527407,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB6,-0.135283962282158,0.150608645476725,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
EN-B-June,6212017EGB7,-0.129730786145152,0.0782717348970464,B,June,EN,EN-B,-0.165219294180683,0.0618607153861177,dice,pid=100
