	EN	HB	Overall Accuracy
EN	0.9047619047619048	0.09523809523809523	
HB	0.15789473684210525	0.8421052631578947	
Overall Accuracy			0.875
Baseline Accuracy			0.525
Accuracy Ratio			1.6666666666666665
