,Df,Sum Sq,Mean Sq,F value,Pr(>F)
Site                      ,1,0.0834132844703386,0.0834132844703386,27.9692902262667,2.75603556366598e-07
Roost                     ,3,0.0311209735280822,0.0103736578426941,3.47838894910644,0.0166519424148376
CollectionMonth           ,2,0.0211196563361099,0.010559828168055,3.54081368030605,0.03050101202598
Site:Roost                ,3,0.0176490436539953,0.00588301455133177,1.97263232632998,0.118689200918575
Site:CollectionMonth      ,2,5.38885687764368e-05,2.69442843882184e-05,0.00903468212261955,0.991006342230138
Roost:CollectionMonth     ,6,0.00657692484059419,0.00109615414009903,0.367551205684218,0.899063359978755
Site:Roost:CollectionMonth,5,0.0272401465541891,0.00544802931083783,1.82677752019483,0.108229385219407
Residuals                 ,242,0.721720668580454,0.00298231681231592,NA,NA
