,Df,Sum Sq,Mean Sq,F value,Pr(>F)
Site                      ,1,0.00118581887564596,0.00118581887564596,0.501029390256543,0.479729318687676
Roost                     ,3,0.00230589549461898,0.000768631831539661,0.32476050583889,0.807462910228938
CollectionMonth           ,2,0.00614066576652076,0.00307033288326038,1.29726979725008,0.275170345000036
Site:Roost                ,3,0.00655163640817535,0.00218387880272512,0.922727313079333,0.43043706968531
Site:CollectionMonth      ,2,0.000249467168686238,0.000124733584343119,0.0527021394172886,0.948673424601551
Roost:CollectionMonth     ,6,0.0092366747566594,0.00153944579277657,0.650442999962943,0.689748612277746
Site:Roost:CollectionMonth,5,0.00354221430552381,0.000708442861104763,0.299329604226079,0.912924333188492
Residuals                 ,242,0.57275715454414,0.00236676510142206,NA,NA
