,Df,Sum Sq,Mean Sq,F value,Pr(>F)
Site                      ,1,0.00118223220155702,0.00118223220155702,0.502082619065087,0.479268451132331
Roost                     ,3,0.00219912753652854,0.000733042512176179,0.311316088256385,0.817198458347093
CollectionMonth           ,2,0.00659438059137987,0.00329719029568994,1.40028493305775,0.248516897951801
Site:Roost                ,3,0.00672856619969985,0.00224285539989995,0.952519066798338,0.41587449953578
Site:CollectionMonth      ,2,0.000303150636782417,0.000151575318391208,0.064372576506758,0.937671636164693
Roost:CollectionMonth     ,6,0.00926313631371192,0.00154385605228532,0.655660782348866,0.685546721171849
Site:Roost:CollectionMonth,5,0.00341910217114867,0.000683820434229734,0.290411946262428,0.918015468048008
Residuals                 ,242,0.569826920735751,0.00235465669725517,NA,NA
