,Df,Sum Sq,Mean Sq,F value,Pr(>F)
Site                      ,1,0.070647590496636,0.070647590496636,23.0197153631338,2.80628193413171e-06
Roost                     ,3,0.0320742581738324,0.0106914193912775,3.483677638331,0.0165359338012631
CollectionMonth           ,2,0.022381295073247,0.0111906475366235,3.64634546219229,0.0275298774474587
Site:Roost                ,3,0.0225046618319568,0.00750155394398561,2.44429619407848,0.0646622202606635
Site:CollectionMonth      ,2,0.000296311810768618,0.000148155905384309,0.0482749198852942,0.952880961452779
Roost:CollectionMonth     ,6,0.00751603962869056,0.00125267327144843,0.408169364999384,0.873273694592374
Site:Roost:CollectionMonth,5,0.0263999422379394,0.00527998844758787,1.72042429656387,0.130518556910719
Residuals                 ,242,0.742698883565102,0.00306900365109546,NA,NA
