	July	June	September	Overall Accuracy
July	0.8421052631578947	0.05263157894736842	0.10526315789473684	
June	0.0	1.0	0.0	
September	0.0	0.1111111111111111	0.8888888888888888	
Overall Accuracy				0.9107142857142857
Baseline Accuracy				0.3392857142857143
Accuracy Ratio				2.6842105263157894
