SampleID,SampleType,BatchType,Roost,CollectionMonth,Site,sumNonBatReads,nASVs,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
6212017HBC8,sample,single,C,6,HickoryBottoms,26933,28,NA,NA,NA,NA,NA
6212017HBC9,sample,single,C,6,HickoryBottoms,26331,42,NA,17,NA,FALSE,17
6212017HBD1,sample,single,D,6,HickoryBottoms,35740,62,NA,864,NA,FALSE,864
6212017HBD10,sample,single,D,6,HickoryBottoms,30477,16,NA,NA,NA,NA,NA
6212017HBD2,sample,single,D,6,HickoryBottoms,18375,16,NA,NA,NA,NA,NA
6212017HBD3,sample,single,D,6,HickoryBottoms,20788,71,4,16,NA,TRUE,20
6212017HBD4,sample,single,D,6,HickoryBottoms,21032,26,NA,189,NA,FALSE,189
6212017HBD5,sample,single,D,6,HickoryBottoms,29356,78,NA,171,NA,FALSE,171
6212017HBD6,sample,single,D,6,HickoryBottoms,31082,20,NA,NA,NA,NA,NA
6212017HBD7,sample,single,D,6,HickoryBottoms,26452,45,NA,211,NA,FALSE,211
6212017HBD8,sample,single,D,6,HickoryBottoms,19586,53,NA,147,NA,FALSE,147
6212017HBD9,sample,single,D,6,HickoryBottoms,26583,22,NA,NA,NA,NA,NA
6212017HBPoolA1,sample,pool,A,6,HickoryBottoms,40496,36,NA,NA,NA,NA,NA
6212017HBPoolA2,sample,pool,A,6,HickoryBottoms,48265,41,NA,1097,NA,FALSE,1097
6212017HBPoolA3,sample,pool,A,6,HickoryBottoms,70411,43,NA,NA,NA,NA,NA
6212017HBPoolA4,sample,pool,A,6,HickoryBottoms,54914,41,NA,NA,NA,NA,NA
6212017HBPoolB1,sample,pool,B,6,HickoryBottoms,25564,47,NA,NA,NA,NA,NA
6212017HBPoolB2,sample,pool,B,6,HickoryBottoms,20337,54,NA,NA,NA,NA,NA
6212017HBPoolB3,sample,pool,B,6,HickoryBottoms,23225,56,NA,NA,NA,NA,NA
6212017HBPoolB4,sample,pool,B,6,HickoryBottoms,63401,75,NA,NA,NA,NA,NA
6212017HBPoolC1,sample,pool,C,6,HickoryBottoms,24729,153,NA,NA,NA,NA,NA
6212017HBPoolC2,sample,pool,C,6,HickoryBottoms,37724,175,NA,277,NA,FALSE,277
6212017HBPoolC3,sample,pool,C,6,HickoryBottoms,22745,153,NA,85,NA,FALSE,85
6212017HBPoolC4,sample,pool,C,6,HickoryBottoms,30693,166,NA,52,NA,FALSE,52
6212017HBPoolD1,sample,pool,D,6,HickoryBottoms,28531,82,10,57,NA,TRUE,67
6212017HBPoolD2,sample,pool,D,6,HickoryBottoms,26893,74,NA,79,NA,FALSE,79
6212017HBPoolD3,sample,pool,D,6,HickoryBottoms,28025,25,NA,NA,NA,NA,NA
6212017HBPoolD4,sample,pool,D,6,HickoryBottoms,33800,27,NA,69,NA,FALSE,69
72717EgnerPoolB1,sample,pool,B,7,Egner,30403,76,NA,314,NA,FALSE,314
72717EgnerPoolB2,sample,pool,B,7,Egner,19317,83,NA,NA,NA,NA,NA
72717EgnerPoolB3,sample,pool,B,7,Egner,23106,125,NA,68,NA,FALSE,68
72717EgnerPoolB4,sample,pool,B,7,Egner,24765,132,NA,238,NA,FALSE,238
72717HBPoolB1,sample,pool,B,7,HickoryBottoms,27447,135,NA,1418,NA,FALSE,1418
72717HBPoolB2,sample,pool,B,7,HickoryBottoms,16158,106,NA,818,NA,FALSE,818
72717HBPoolB3,sample,pool,B,7,HickoryBottoms,33593,170,NA,1438,NA,FALSE,1438
72717HBPoolB4,sample,pool,B,7,HickoryBottoms,26764,160,NA,1139,NA,FALSE,1139
