SampleID,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
7272017HBC6,NA,405,NA,FALSE,405
7272017HBC9,NA,64,NA,FALSE,64
7272017HBD1,NA,134,NA,FALSE,134
7272017HBD2,NA,11,NA,FALSE,11
7272017HBD4,NA,12,NA,FALSE,12
7272017HBD5,NA,520,NA,FALSE,520
7272017HBD6,NA,813,NA,FALSE,813
7272017HBD7,NA,127,NA,FALSE,127
7272017HBPoolA1,NA,101,NA,FALSE,101
7272017HBPoolA2,NA,35,NA,FALSE,35
7272017HBPoolA4,NA,62,NA,FALSE,62
7272017HBPoolD1,NA,281,NA,FALSE,281
7272017HBPoolD2,NA,386,NA,FALSE,386
7272017HBPoolD3,NA,3312,NA,FALSE,3312
7272017HBPoolD4,NA,627,NA,FALSE,627
91517HBPoolD1,NA,95,NA,FALSE,95
91517HBPoolD2,NA,76,NA,FALSE,76
91517HBPoolD3,NA,41,NA,FALSE,41
9152017EGA1,NA,347,NA,FALSE,347
9152017EGA5,26,690,NA,TRUE,716
9152017EGA7,NA,1983,NA,FALSE,1983
9152017EGB10,NA,5706,NA,FALSE,5706
9152017EGB5,NA,88,NA,FALSE,88
9152017EGB7,NA,187,NA,FALSE,187
9152017EGB8,NA,5539,NA,FALSE,5539
9152017EGB9,NA,184,NA,FALSE,184
9152017EGC10,NA,8453,NA,FALSE,8453
9152017EGC2,NA,33,NA,FALSE,33
9152017EGC3,NA,1459,NA,FALSE,1459
9152017EGC4,NA,237,NA,FALSE,237
9152017EGC5,NA,3974,NA,FALSE,3974
9152017EGC6,NA,658,NA,FALSE,658
9152017EGC7,NA,51,NA,FALSE,51
9152017EGC9,NA,2977,NA,FALSE,2977
9152017EGD10,NA,95,NA,FALSE,95
9152017EGD5,NA,26,NA,FALSE,26
9152017EGD6,NA,861,NA,FALSE,861
9152017EgnerB2,NA,596,NA,FALSE,596
9152017EgnerB3,NA,148,NA,FALSE,148
9152017EgnerB4,NA,1897,NA,FALSE,1897
9152017EgnerD1,NA,41,NA,FALSE,41
9152017EgnerD2,NA,63,NA,FALSE,63
9152017EgnerD4,NA,21,NA,FALSE,21
9152017EgnerPoolC2,NA,780,NA,FALSE,780
9152017HBA10,NA,NA,4,FALSE,4
9152017HBA3,NA,NA,88,FALSE,88
9152017HBA4,NA,9,NA,FALSE,9
9152017HBA5,NA,8302,NA,FALSE,8302
9152017HBA8,NA,361,NA,FALSE,361
9152017HBB1,NA,27,NA,FALSE,27
9152017HBB2,NA,7010,NA,FALSE,7010
9152017HBB3,NA,68,NA,FALSE,68
9152017HBB4,NA,111,NA,FALSE,111
9152017HBB5,NA,513,NA,FALSE,513
9152017HBB6,NA,1866,NA,FALSE,1866
9152017HBB8,NA,10183,NA,FALSE,10183
9152017HBB9,NA,131,NA,FALSE,131
9152017HBD1,NA,448,NA,FALSE,448
9152017HBD2,NA,22,NA,FALSE,22
9152017HBD3,NA,82,NA,FALSE,82
9152017HBD7,NA,108,NA,FALSE,108
9152017HBD8,NA,870,NA,FALSE,870
9152017HBD9,NA,456,NA,FALSE,456
9152017HBPoolA1,NA,4,8,TRUE,12
9152017HBPoolA2,NA,13,11,TRUE,24
9152017HBPoolA3,NA,4,9,TRUE,13
9152017HBPoolA4,NA,11,12,TRUE,23
9152017HBPoolB2,NA,8,NA,FALSE,8
blankS39,NA,82,NA,FALSE,82
ExtractionNTC1S1,240,603,54,TRUE,897
ExtractionNTC4S28,13269,2703,NA,TRUE,15972
ExtractionNTC8S64,NA,82,NA,FALSE,82
