Feature ID	Taxon	Consensus
d4d84ea87207f9dba68c3cfd4908c9cc	Unassigned	1.0
295e51f340870b175301537c42cf0c5b	Unassigned	1.0
26a257f94e8e6109221965efdbf26392	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;;	1.0
a1cfe0335c0c447b1e4944f81e472a0c	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Eustala;Eustala cepina	1.0
68e0bd99e463ced0a0c3d4db43b5e147	Unassigned	1.0
183cc807f31d7bd4fda10446cbbae15a	Animalia;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;Perimede;Perimede circitor	1.0
a07997c1a5b848bfff2582438b95f002	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex erraticus	1.0
95a211c426396a8f8ed7cdd16399ca47	Unassigned	1.0
d4cf38553871750e07d9a8f96bb1edda	Unassigned	1.0
41bcadf6f35957ef31eac55e3009e8f8	Animalia;Arthropoda;Insecta;Coleoptera;Elateridae;Melanotus;Melanotus miscellus	1.0
c3dc89bdb49e45d79e7c8e7dbc9e021d	Unassigned	1.0
ee285728fc95a1dd46d4a6f9f066c68d	Unassigned	1.0
5313b2a94480b1c3c0bd64da19235a11	Unassigned	1.0
d8d5bd07a7cdfb721661da10d3702c20	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Episimus;Episimus argutana	1.0
ef672f9b7fe98f85b24d0d7bb969406a	Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole tysoni	1.0
9d304bca8c447ae6c1fbd8ed92d66539	Unassigned	1.0
c913c52a14570ab78cfcd7fc6c4f1c98	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;;	1.0
a50ea4b8de3fc8320dcee4d558417828	Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Ponana;Ponana puncticollis	1.0
382ea10b1c328a71f139601c173f574b	Animalia;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis;Myotis lucifugus	1.0
a630cb4a3ce26956f3133ac272fb6bbf	Unassigned	1.0
2e974a7e432532b56fad5aa51fe5b3a2	Unassigned	1.0
35ca5ba82060ef59eea0431c2eacbd99	Animalia;Arthropoda;Insecta;Hemiptera;Phylloxeridae;Daktulosphaira;Daktulosphaira vitifoliae	1.0
254ad1cced34d3ecdc0c2f888b1c18b1	Unassigned	1.0
76dc8113bc421a8c4e861d8b1fabc3cf	Unassigned	1.0
da087a0698a2b2eb7084fe8933c7d1ac	Unassigned	1.0
98318841f9a8c2b076c66e33f921adae	Unassigned	1.0
62f3f2d32c53e9c0fa0183f78539af1d	Animalia;Arthropoda;Insecta;Lepidoptera;Oecophoridae;Inga;Inga sparsiciliella	1.0
0871fb8fc45696ef2abe3569477afa6f	Animalia;Arthropoda;Insecta;Diptera;Chaoboridae;Chaoborus;Chaoborus punctipennis	1.0
afdec5e7ef16c651a4fc4267afaf7424	Unassigned	1.0
69372b8a28d1bd5f619639c56951da5f	Unassigned	1.0
bc5caf83c0cf190addd7ddd7d6f66cc1	Unassigned	1.0
a4ff8a1bb9fbbfdb135a64d95dbf4d19	Unassigned	1.0
6e2affed6742ece721ca68714b28009e	Unassigned	1.0
2066a2ef9e7c8048b1af441a0d9614b1	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Uranotaenia;Uranotaenia sapphirina	1.0
6b8b3ed9401e28134d0d3ce6ef12a3f0	Unassigned	1.0
15d645134fe4403f6f88c9626532af11	Unassigned	1.0
daf11e6ecae19663b7bba2b6f93ae6ec	Unassigned	1.0
76ca6e4b2f8824db2839c0ef1a55681b	Unassigned	1.0
be47925c1ce866663454cd033f7382af	Unassigned	1.0
d4aa1704bc85aca2c0e1e898e5586c0d	Unassigned	1.0
29709685913bbb5b5c696c5921f1f7ab	Unassigned	1.0
531aa038705d321882e792591eedd5f8	Unassigned	1.0
eae35ebb8aff8fa1779e68fc1cd63e6e	Animalia;Arthropoda;Arachnida;Araneae;Tetragnathidae;Tetragnatha;Tetragnatha elongata	1.0
83e4473abf73f22cf6433778bf00f5c0	Unassigned	1.0
4eb2a6ab6a4d40f290308143bdd83cba	Unassigned	1.0
68a1c5aa49c0199d7e0a7d322160e3c7	Unassigned	1.0
2b400f19b66bbe3c664a73d3bc755437	Unassigned	1.0
8b79c3f59fd520aeb1e6e134baf51d23	Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Nephrotoma;Nephrotoma macrocera	1.0
2fba421c5d9bab8b057ab02b3882b58e	Unassigned	1.0
c1bd43b4e6dfc7294073d2a88488dc42	Unassigned	1.0
0bfa7567ba51c6f70fafb0695ca58818	Animalia;Arthropoda;Insecta;Diptera;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.7
7590dbefaf8703f0d364258dd0f9353e	Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Hypagyrtis;Ambiguous_taxa	0.8
d3d550dd2f350fb74acf0c14368a56a3	Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus guerlus	1.0
bb7e55760eb6c4271e7e7030d5963bed	Unassigned	1.0
19c7fb4fd8d5fd98923f0011765d8f5e	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;;	1.0
cafd94790ef56d1e470b0ab09cea4734	Unassigned	1.0
92e807f319442dd87ddae1a3f7725e65	Animalia;Arthropoda;Insecta;Coleoptera;Pyrochroidae;Dendroides;Dendroides canadensis	1.0
cee0884cfe05f7345b3c3828a320e58b	Unassigned	1.0
65c49da7605432626bdc86dcaa915732	Unassigned	1.0
1cd975f9196b626d8b3f4c28a28ad6c1	Unassigned	1.0
6abbd427c723653e25a49215727a8b86	Unassigned	1.0
299130f1da978a008948ec4a58aad90f	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Orthopodomyia;Orthopodomyia signifera	1.0
79f33868abee420faa529b31aefc8d10	Animalia;Arthropoda;Arachnida;Araneae;Anyphaenidae;Anyphaena;Anyphaena pectorosa	1.0
224d1b6fb9e7bfff45493fa76834e9aa	Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Theridion;Theridion albidum	1.0
ec4c0d734f4db5ac9afb49c509c47b0b	Animalia;Arthropoda;Arachnida;Araneae;Dictynidae;Emblyna;Emblyna sublata	1.0
383f46f141d64ada51c14f6a3c927043	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Gymnandrosoma;Gymnandrosoma punctidiscanum	1.0
94cac66ecd39a4d5332e6a65750d9719	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex territans	0.9
0fd35735d647d739788b5c76ce4e2ea1	Unassigned	1.0
30574eac840c5511b2cba5ee6e7b302d	Animalia;Arthropoda;Insecta;Psocodea;Psocidae;Blaste;Blaste sp. 2KJEM	1.0
ccbfa51be33f44b29883b5b3d77eb720	Animalia;Arthropoda;Insecta;Lepidoptera;Tineidae;Acrolophus;Acrolophus propinqua	1.0
422e65df448164117d69d027610d1626	Unassigned	1.0
