SampleID,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
7272017HBC3,NA,1007,NA,FALSE,1007
7272017HBC5,NA,3522,NA,FALSE,3522
7272017HBC6,NA,399,NA,FALSE,399
7272017HBC9,NA,63,NA,FALSE,63
7272017HBD1,NA,124,NA,FALSE,124
7272017HBD2,NA,10,6,TRUE,16
7272017HBD4,NA,12,NA,FALSE,12
7272017HBD5,NA,538,NA,FALSE,538
7272017HBD6,NA,1181,NA,FALSE,1181
7272017HBD7,NA,113,NA,FALSE,113
7272017HBPoolA1,NA,95,NA,FALSE,95
7272017HBPoolA2,NA,33,NA,FALSE,33
7272017HBPoolA4,NA,57,NA,FALSE,57
7272017HBPoolD1,NA,348,NA,FALSE,348
7272017HBPoolD2,NA,415,NA,FALSE,415
7272017HBPoolD3,NA,3627,NA,FALSE,3627
7272017HBPoolD4,NA,608,NA,FALSE,608
91517HBPoolD1,NA,91,NA,FALSE,91
91517HBPoolD2,NA,106,NA,FALSE,106
91517HBPoolD3,NA,37,NA,FALSE,37
9152017EGA1,NA,551,NA,FALSE,551
9152017EGA5,26,644,NA,TRUE,670
9152017EGA7,NA,2364,NA,FALSE,2364
9152017EGB10,NA,5462,NA,FALSE,5462
9152017EGB5,NA,87,NA,FALSE,87
9152017EGB7,NA,249,NA,FALSE,249
9152017EGB8,NA,5295,NA,FALSE,5295
9152017EGB9,NA,302,NA,FALSE,302
9152017EGC10,NA,8155,NA,FALSE,8155
9152017EGC2,NA,32,NA,FALSE,32
9152017EGC3,NA,2312,NA,FALSE,2312
9152017EGC4,NA,231,NA,FALSE,231
9152017EGC5,NA,3759,NA,FALSE,3759
9152017EGC6,NA,649,NA,FALSE,649
9152017EGC7,NA,48,NA,FALSE,48
9152017EGC8,NA,72,NA,FALSE,72
9152017EGC9,NA,2807,NA,FALSE,2807
9152017EGD10,NA,177,NA,FALSE,177
9152017EGD5,NA,27,NA,FALSE,27
9152017EGD6,NA,831,NA,FALSE,831
9152017EgnerB2,NA,979,NA,FALSE,979
9152017EgnerB3,NA,256,NA,FALSE,256
9152017EgnerB4,NA,1851,NA,FALSE,1851
9152017EgnerD1,NA,39,NA,FALSE,39
9152017EgnerD2,NA,62,NA,FALSE,62
9152017EgnerD4,NA,21,NA,FALSE,21
9152017EgnerPoolC2,NA,761,NA,FALSE,761
9152017HBA10,NA,NA,4,FALSE,4
9152017HBA3,NA,NA,87,FALSE,87
9152017HBA4,NA,8,NA,FALSE,8
9152017HBA5,NA,7863,NA,FALSE,7863
9152017HBA8,NA,352,NA,FALSE,352
9152017HBB1,NA,24,NA,FALSE,24
9152017HBB2,NA,6816,NA,FALSE,6816
9152017HBB3,NA,62,NA,FALSE,62
9152017HBB4,NA,110,NA,FALSE,110
9152017HBB5,NA,495,NA,FALSE,495
9152017HBB6,NA,1786,NA,FALSE,1786
9152017HBB8,NA,9773,NA,FALSE,9773
9152017HBB9,NA,129,NA,FALSE,129
9152017HBD1,NA,447,NA,FALSE,447
9152017HBD2,NA,22,NA,FALSE,22
9152017HBD3,NA,83,NA,FALSE,83
9152017HBD7,NA,106,NA,FALSE,106
9152017HBD8,NA,846,NA,FALSE,846
9152017HBD9,NA,426,NA,FALSE,426
9152017HBPoolA1,NA,4,7,TRUE,11
9152017HBPoolA2,NA,12,11,TRUE,23
9152017HBPoolA3,NA,4,9,TRUE,13
9152017HBPoolA4,NA,10,12,TRUE,22
9152017HBPoolB2,NA,6,NA,FALSE,6
blankS39,NA,80,NA,FALSE,80
ExtractionNTC1S1,198,577,52,TRUE,827
ExtractionNTC4S28,12789,2512,NA,TRUE,15301
ExtractionNTC8S64,NA,79,NA,FALSE,79
